domain,entity,weight,note
academia,researcher,5,chercheurs — entité racine du domaine
academia,publication,50,publications nombreuses par chercheur
academia,grant,2,subventions — moins nombreuses que les publications
academia,conference,3,conférences — ~0.6/chercheur (1-4/an en réalité, plafonné)
agriculture,farm,1,exploitations agricoles — unité de base
agriculture,crop,5,cultures variées par exploitation
agriculture,livestock,30,têtes de bétail par exploitation
agriculture,harvest,15,récoltes multiples par an par culture
automotive,vehicle,1,véhicules — unité de base
automotive,vehicle_owner,1,propriétaires — environ 1:1 avec les véhicules
automotive,service_record,15,interventions d'entretien par véhicule
automotive,part_replacement,8,pièces remplacées lors d'interventions
automotive,accident_claim,1,sinistres — ~1 par véhicule sur sa durée de vie (plancher weight=1, réel ~0.7)
aviation,airline,1,compagnies aériennes — très peu
aviation,aircraft,5,flotte de quelques dizaines d'appareils par compagnie
aviation,flight,50,vols quotidiens par appareil sur la période
aviation,passenger,500,passagers par vol — 10 pax/vol en moyenne (vs 69 en réalité)
banking,account_holder,5,titulaires de compte
banking,account,10,comptes (1 à 3 par titulaire)
banking,transaction,500,transactions nombreuses par compte
biotech,laboratory,1,laboratoires de recherche
biotech,research_project,10,projets par laboratoire
biotech,sample,50,échantillons par projet
biotech,experiment,100,expériences par échantillon
blockchain,exchange,1,plateformes d'échange — peu nombreuses
blockchain,smart_contract,3,contrats intelligents — plus nombreux que les exchange
blockchain,token,10,tokens — diversité modérée
blockchain,wallet,50,portefeuilles — nombreux utilisateurs
blockchain,blockchain_transaction,500,transactions — ~10 tx/wallet pour ~1 semaine d'activité
construction,project,1,projets de construction
construction,permit,2,permis par projet
construction,contractor,5,entrepreneurs intervenant par projet
construction,inspection,10,inspections multiples par projet
crm,account,1,comptes clients — les moins nombreux
crm,contact,3,contacts par compte
crm,lead,50,pistes commerciales — très nombreuses, peu converties
cybersecurity,threat_actor,1,acteurs malveillants — peu nombreux
cybersecurity,incident,10,incidents par acteur
cybersecurity,asset,100,actifs informatiques — nombreux
cybersecurity,vulnerability,300,vulnérabilités par actif — ratio réaliste ~5000x plafonné à 300x
ecommerce,product,2,produits au catalogue — les moins nombreux
ecommerce,product_variant,6,déclinaisons par produit
ecommerce,address,150,adresses de livraison — ~1.5/customer (billing + shipping)
ecommerce,customer,100,clients — nombreux
ecommerce,order,300,commandes par client
ecommerce,order_line_item,750,lignes de commande — ~2.5 items/commande (vs 2.5-3 réel)
education,faculty,2,enseignants-chercheurs
education,course,10,cours par enseignant
education,student,100,étudiants — nombreux
education,enrollment,500,inscriptions par étudiant — ratio réaliste ~5000x plafonné à 500x
energy,utility_customer,2,clients du réseau
energy,service_point,3,points de livraison par client
energy,meter,3,compteurs par point
energy,invoice,24,factures mensuelles
energy,meter_reading,500,relevés quotidiens — ratio réaliste ~10000x plafonné à 500x
fashion,brand,1,marques de mode
fashion,collection,5,collections par marque par saison
fashion,supplier,10,fournisseurs par marque
fashion,product,100,produits par collection
fintech,merchant,2,marchands — les moins nombreux
fintech,dispute,5,contestations — petite fraction des transactions (~1%)
fintech,customer,100,clients — nombreux
fintech,account,150,comptes par client
fintech,payment_transaction,500,transactions — ratio réaliste ~50000x plafonné à 500x
food_beverage,restaurant,1,restaurants
food_beverage,inspection,2,contrôles par restaurant par an
food_beverage,supplier,5,fournisseurs par restaurant
food_beverage,menu_item,30,plats à la carte (20-40 en fast-casual)
gaming,player,1,joueurs
gaming,game_account,2,comptes par joueur
gaming,item_purchase,20,achats intégrés par joueur
gaming,match_session,50,parties par joueur
healthcare,provider,1,professionnels de santé — les moins nombreux
healthcare,patient,100,patients par professionnel
healthcare,coverage,150,couvertures d'assurance par patient
healthcare,encounter,300,consultations par patient (~3.2 visites/an réel)
hospitality,hotel_property,1,établissements hôteliers
hospitality,loyalty_account,30,comptes fidélité (~30% des clients)
hospitality,guest,100,clients par hôtel
hospitality,booking,200,réservations par client
hr,department,2,directions et services
hr,employee,100,salariés par direction
hr,performance_review,100,entretiens annuels (1 par employé)
hr,payroll_record,500,bulletins de paie mensuels
insurance,agent,1,agents et courtiers
insurance,claim,15,sinistres déclarés (~10-15% des polices par an)
insurance,policy_holder,100,souscripteurs par agent
insurance,policy,200,contrats par souscripteur (~2.3 polices/ménage en moyenne)
kyc,legal_entity,1,personnes morales — les moins nombreuses
