domain,entity,source_col,target_entity,note
academia,publication,researcher_id,researcher,publication rattachée à un chercheur
academia,grant,researcher_id,researcher,subvention attribuée à un chercheur
academia,conference,researcher_id,researcher,conférence présentée par un chercheur
agriculture,crop,farm_id,farm,culture cultivée sur une exploitation
agriculture,livestock,farm_id,farm,bétail élevé sur une exploitation
agriculture,harvest,crop_id,crop,récolte liée à une culture
automotive,vehicle_owner,vehicle_id,vehicle,propriétaire lié à un véhicule
automotive,service_record,vehicle_id,vehicle,intervention d'entretien sur un véhicule
automotive,part_replacement,service_id,service_record,pièce remplacée lors d'une intervention
automotive,accident_claim,vehicle_id,vehicle,sinistre lié à un véhicule
automotive,accident_claim,owner_id,vehicle_owner,sinistre lié au propriétaire
aviation,aircraft,airline_id,airline,avion rattaché à une compagnie
aviation,flight,airline_id,airline,vol opéré par une compagnie
aviation,flight,aircraft_id,aircraft,vol assuré par un avion
aviation,passenger,flight_id,flight,passager rattaché à un vol
banking,account,holder_id,account_holder,compte détenu par un titulaire
banking,transaction,account_id,account,transaction rattachée à un compte
biotech,research_project,lab_id,laboratory,projet mené dans un laboratoire
biotech,sample,project_id,research_project,échantillon issu d'un projet
biotech,experiment,sample_id,sample,expérience réalisée sur un échantillon
blockchain,blockchain_transaction,token_id,token,transaction portant sur un token (null 40%)
construction,permit,project_id,project,permis rattaché à un projet
construction,inspection,permit_id,permit,inspection liée à un permis
construction,contractor,project_id,project,entrepreneur intervenant sur un projet
crm,contact,account_id,account,contact rattaché à un compte
crm,lead,contact_id,contact,prospect converti en contact (nullable 70%)
cybersecurity,incident,asset_id,asset,incident impliquant un actif
cybersecurity,incident,vuln_id,vulnerability,incident exploitant une vulnérabilité
cybersecurity,incident,actor_id,threat_actor,incident attribué à un acteur malveillant
ecommerce,address,customer_id,customer,adresse rattachée à un client
ecommerce,order,customer_id,customer,commande passée par un client
ecommerce,order,billing_address_id,address,adresse de facturation de la commande
ecommerce,order,shipping_address_id,address,adresse de livraison de la commande
ecommerce,order_line_item,order_id,order,ligne rattachée à une commande
ecommerce,order_line_item,product_id,product,produit commandé dans la ligne
ecommerce,order_line_item,variant_id,product_variant,variante du produit commandé
